# Reciprocal collectivity of fluctuations=  120.2
# kappa=  0.077
# Frequency reported in internal units: 0.156 ps^(-1), kT/h/ is 2.47 internal units (om-2)= 0.164
#mode pc_therm cumul om-2(harm)  RMSD  Coll_cart Coll_MW Coll_tors Max_dev_atom
   72  0.0022 0.693    1.203   0.0196  0.294 0.339 0.274  0.109
   73  0.0021 0.695    1.188   0.0195  0.313 0.358 0.293  0.079
   74  0.0021 0.697     1.17   0.0193  0.298 0.343 0.292  0.097
   75  0.0021 0.699    1.155   0.0192  0.215 0.222 0.231  0.122
   76  0.0020 0.701    1.134    0.019  0.233 0.265 0.213  0.107
   77  0.0020 0.703    1.121   0.0189  0.283 0.328 0.327  0.110
   78  0.0020 0.705    1.108   0.0188  0.310 0.350 0.294  0.110
   79  0.0020 0.707    1.101   0.0188  0.284 0.307 0.250  0.081
   80  0.0019 0.709    1.074   0.0185  0.346 0.364 0.323  0.104
   81  0.0019 0.711    1.063   0.0184  0.276 0.289 0.311  0.096
   82  0.0019 0.713    1.046   0.0183  0.350 0.370 0.344  0.087
   83  0.0019 0.715    1.038   0.0182  0.295 0.327 0.256  0.078
   84  0.0018 0.717    1.023   0.0181  0.276 0.305 0.266  0.121
   85  0.0018 0.719    1.001   0.0179  0.310 0.347 0.242  0.095
   86  0.0018 0.720   0.9959   0.0178  0.328 0.346 0.308  0.097
   87  0.0018 0.722   0.9893   0.0178  0.319 0.343 0.347  0.077
   88  0.0017 0.724   0.9692   0.0176  0.254 0.288 0.257  0.100
   89  0.0017 0.726   0.9675   0.0176  0.244 0.276 0.256  0.095
   90  0.0017 0.727   0.9526   0.0175  0.294 0.346 0.327  0.083
   91  0.0017 0.729   0.9495   0.0174  0.368 0.404 0.317  0.070
   92  0.0017 0.731   0.9409   0.0173  0.328 0.383 0.270  0.077
   93  0.0017 0.732   0.9258   0.0172  0.308 0.357 0.305  0.107
   94  0.0017 0.734    0.921   0.0172  0.296 0.324 0.264  0.077
   95  0.0016 0.736   0.9146   0.0171  0.197 0.214 0.172  0.092
   96  0.0016 0.737   0.9053    0.017  0.246 0.325 0.247  0.094
   97  0.0016 0.739   0.9015    0.017  0.216 0.267 0.203  0.099
   98  0.0016 0.741   0.8891   0.0169  0.334 0.371 0.250  0.075
   99  0.0016 0.742   0.8686   0.0167  0.295 0.322 0.264  0.083
  100  0.0016 0.744   0.8604   0.0166  0.313 0.350 0.262  0.064
  101  0.0015 0.745   0.8536   0.0165  0.349 0.379 0.245  0.080
  102  0.0015 0.747   0.8424   0.0164  0.332 0.421 0.283  0.059
  103  0.0015 0.748   0.8299   0.0163  0.296 0.308 0.289  0.101
  104  0.0015 0.750   0.8221   0.0162  0.336 0.365 0.255  0.077
  105  0.0015 0.751   0.8104   0.0161  0.351 0.364 0.314  0.059
  106  0.0014 0.753   0.8007    0.016  0.328 0.354 0.257  0.072
  107  0.0014 0.754   0.7995    0.016  0.381 0.442 0.275  0.059
  108  0.0014 0.756   0.7941   0.0159  0.334 0.372 0.245  0.064
  109  0.0014 0.757   0.7852   0.0158  0.217 0.269 0.244  0.117
  110  0.0014 0.758   0.7831   0.0158  0.314 0.363 0.183  0.078
  111  0.0014 0.760   0.7668   0.0157  0.342 0.367 0.244  0.065
  112  0.0014 0.761   0.7652   0.0156  0.356 0.393 0.269  0.063
  113  0.0014 0.763   0.7598   0.0156  0.275 0.297 0.231  0.078
  114  0.0014 0.764   0.7491   0.0155  0.314 0.353 0.291  0.086
  115  0.0013 0.765   0.7454   0.0154  0.341 0.386 0.331  0.069
  116  0.0013 0.767   0.7384   0.0154  0.328 0.382 0.175  0.100
  117  0.0013 0.768   0.7322   0.0153  0.218 0.271 0.235  0.120
  118  0.0013 0.769   0.7232   0.0152  0.310 0.353 0.251  0.065
  119  0.0013 0.770   0.7178   0.0152  0.337 0.386 0.278  0.077
  120  0.0013 0.772   0.7113   0.0151  0.375 0.411 0.310  0.053
  121  0.0013 0.773   0.7024    0.015  0.304 0.366 0.296  0.056
  122  0.0013 0.774   0.6938   0.0149  0.349 0.421 0.326  0.067
  123  0.0012 0.776   0.6858   0.0148  0.225 0.291 0.248  0.093
  124  0.0012 0.777   0.6824   0.0148  0.313 0.380 0.255  0.066
  125  0.0012 0.778    0.677   0.0147  0.266 0.312 0.294  0.083
  126  0.0012 0.779   0.6712   0.0147  0.286 0.352 0.303  0.085
  127  0.0012 0.780   0.6609   0.0145  0.352 0.384 0.312  0.078
  128  0.0012 0.782   0.6557   0.0145  0.339 0.398 0.282  0.052
  129  0.0012 0.783   0.6465   0.0144  0.282 0.349 0.299  0.090
  130  0.0012 0.784   0.6391   0.0143  0.209 0.244 0.305  0.110
  131  0.0011 0.785   0.6359   0.0143  0.321 0.354 0.272  0.062
  132  0.0011 0.786   0.6258   0.0141  0.285 0.346 0.234  0.111
  133  0.0011 0.787   0.6192   0.0141  0.267 0.298 0.252  0.063
  134  0.0011 0.788    0.613    0.014  0.317 0.391 0.225  0.055
  135  0.0011 0.789    0.612    0.014  0.280 0.335 0.200  0.064
  136  0.0011 0.791   0.6081   0.0139  0.274 0.323 0.257  0.058
  137  0.0011 0.792   0.6031   0.0139  0.302 0.335 0.292  0.075
  138  0.0011 0.793   0.5974   0.0138  0.334 0.393 0.305  0.058
  139  0.0011 0.794    0.592   0.0138  0.318 0.364 0.295  0.056
  140  0.0011 0.795   0.5884   0.0137  0.308 0.361 0.233  0.050
  141  0.0011 0.796   0.5863   0.0137  0.230 0.264 0.262  0.086
  142  0.0011 0.797    0.585   0.0137  0.185 0.224 0.172  0.069
  143  0.0011 0.798   0.5843   0.0137  0.287 0.320 0.210  0.066
  144  0.0010 0.799   0.5771   0.0136  0.271 0.300 0.288  0.068
  145  0.0010 0.800   0.5717   0.0135  0.291 0.341 0.286  0.081
  146  0.0010 0.801   0.5657   0.0135  0.338 0.380 0.316  0.049
  147  0.0010 0.802   0.5629   0.0134  0.196 0.224 0.132  0.086
  148  0.0010 0.803   0.5566   0.0133  0.318 0.373 0.279  0.057
  149  0.0010 0.804   0.5556   0.0133  0.367 0.422 0.227  0.061
  150  0.0010 0.805   0.5521   0.0133  0.341 0.390 0.306  0.063
  151  0.0010 0.806   0.5478   0.0132  0.344 0.401 0.297  0.061
  152  0.0010 0.807    0.546   0.0132  0.308 0.396 0.234  0.055
  153  0.0010 0.808    0.543   0.0132  0.335 0.407 0.308  0.046
  154  0.0010 0.809   0.5399   0.0131  0.378 0.450 0.322  0.046
  155  0.0010 0.810   0.5363   0.0131  0.306 0.380 0.210  0.066
  156  0.0010 0.811   0.5352   0.0131  0.324 0.379 0.318  0.055
  157  0.0010 0.812     0.53    0.013  0.321 0.375 0.250  0.057
  158  0.0009 0.813   0.5258    0.013  0.326 0.358 0.285  0.060
  159  0.0009 0.814   0.5242   0.0129  0.290 0.347 0.291  0.060
  160  0.0009 0.815   0.5174   0.0129  0.267 0.340 0.348  0.062
  161  0.0009 0.816   0.5147   0.0128  0.326 0.359 0.269  0.051
  162  0.0009 0.817   0.5097   0.0128  0.337 0.382 0.341  0.056
  163  0.0009 0.818   0.5076   0.0127  0.329 0.365 0.230  0.058
  164  0.0009 0.818   0.5053   0.0127  0.297 0.327 0.221  0.077
  165  0.0009 0.819   0.5037   0.0127  0.298 0.325 0.209  0.054
  166  0.0009 0.820   0.4949   0.0126  0.334 0.388 0.243  0.057
  167  0.0009 0.821    0.494   0.0126  0.262 0.316 0.211  0.070
  168  0.0009 0.822   0.4929   0.0126  0.341 0.393 0.219  0.058
  169  0.0009 0.823   0.4863   0.0125  0.312 0.356 0.188  0.069
  170  0.0009 0.824   0.4845   0.0124  0.316 0.376 0.293  0.051
  171  0.0009 0.825   0.4775   0.0124  0.259 0.286 0.165  0.084
  172  0.0009 0.825   0.4748   0.0123  0.317 0.406 0.265  0.053
  173  0.0008 0.826   0.4698   0.0123  0.307 0.355 0.252  0.065
  174  0.0008 0.827   0.4675   0.0122  0.332 0.389 0.250  0.052
  175  0.0008 0.828   0.4663   0.0122  0.305 0.358 0.267  0.057
  176  0.0008 0.829   0.4619   0.0122  0.337 0.375 0.206  0.063
  177  0.0008 0.830   0.4609   0.0121  0.352 0.406 0.179  0.059
  178  0.0008 0.830    0.454    0.012  0.328 0.368 0.211  0.048
  179  0.0008 0.831   0.4515    0.012  0.281 0.350 0.272  0.066
  180  0.0008 0.832    0.448    0.012  0.285 0.341 0.271  0.053
  181  0.0008 0.833    0.447    0.012  0.193 0.212 0.052  0.126
  182  0.0008 0.834   0.4403   0.0119  0.325 0.380 0.306  0.063
  183  0.0008 0.834    0.436   0.0118  0.318 0.353 0.188  0.057
  184  0.0008 0.835    0.434   0.0118  0.223 0.261 0.184  0.063
  185  0.0008 0.836   0.4309   0.0117  0.300 0.343 0.261  0.049
  186  0.0008 0.837   0.4285   0.0117  0.303 0.360 0.249  0.055
  187  0.0008 0.838   0.4253   0.0117  0.303 0.381 0.233  0.051
  188  0.0008 0.838   0.4249   0.0117  0.208 0.263 0.204  0.100
  189  0.0008 0.839   0.4215   0.0116  0.297 0.351 0.228  0.055
  190  0.0008 0.840   0.4179   0.0116  0.245 0.300 0.177  0.070
  191  0.0008 0.841   0.4172   0.0116  0.278 0.323 0.172  0.071
  192  0.0007 0.841   0.4115   0.0115  0.247 0.275 0.150  0.075
  193  0.0007 0.842   0.4095   0.0114  0.240 0.269 0.179  0.059
  194  0.0007 0.843   0.4091   0.0114  0.280 0.325 0.208  0.059
  195  0.0007 0.844   0.4063   0.0114  0.271 0.330 0.233  0.050
  196  0.0007 0.844   0.4034   0.0114  0.213 0.241 0.103  0.088
  197  0.0007 0.845   0.4024   0.0113  0.340 0.389 0.206  0.051
  198  0.0007 0.846   0.4004   0.0113  0.238 0.276 0.134  0.065
  199  0.0007 0.846   0.3975   0.0113  0.296 0.352 0.229  0.071
  200  0.0007 0.847   0.3967   0.0113  0.318 0.409 0.238  0.071
  201  0.0007 0.848    0.394   0.0112  0.351 0.410 0.293  0.051
  202  0.0007 0.849   0.3912   0.0112  0.250 0.301 0.212  0.067
  203  0.0007 0.849   0.3897   0.0112  0.170 0.228 0.067  0.133
  204  0.0007 0.850   0.3881   0.0111  0.243 0.305 0.228  0.056
  205  0.0007 0.851   0.3863   0.0111  0.342 0.413 0.241  0.048
  206  0.0007 0.851    0.384   0.0111  0.280 0.342 0.153  0.082
  207  0.0007 0.852    0.383   0.0111  0.322 0.376 0.233  0.050
  208  0.0007 0.853   0.3785    0.011  0.343 0.386 0.242  0.051
  209  0.0007 0.853   0.3767    0.011  0.223 0.262 0.196  0.058
  210  0.0007 0.854   0.3755    0.011  0.274 0.313 0.165  0.073
  211  0.0007 0.855   0.3739   0.0109  0.230 0.292 0.172  0.052
  212  0.0007 0.855    0.373   0.0109  0.310 0.386 0.214  0.047
  213  0.0007 0.856   0.3719   0.0109  0.285 0.332 0.223  0.052
  214  0.0007 0.857   0.3682   0.0109  0.322 0.377 0.195  0.056
  215  0.0007 0.857   0.3653   0.0108  0.286 0.343 0.207  0.074
  216  0.0007 0.858   0.3633   0.0108  0.300 0.347 0.209  0.067
